reference,datestring,year,month,datenumber,Calbayog_NorthSamar,Cambatutay_Tarangnan_NorthSamar,IrongIrong_Catbalogan_NorthSamar,Maqueda_NorthSamar,Villareal_NorthSamar,DaramIsland_SamarSea_WestSamar,BiliranIsland,CarigaraBay_Leyte,CoastalLeyte_LeyteGulf_Leyte,Calubian_Leyte,SanPedroBay_SouthSamar
none,01-Jun-83,1983,6,724428,0,0,0,1,1,0,0,1,0,0,0
none,01-Jul-83,1983,7,724458,0,0,0,0,0,0,0,0,0,0,0
none,01-Aug-83,1983,8,724489,0,0,0,0,0,0,0,0,0,0,0
none,01-Sep-83,1983,9,724520,0,0,0,0,0,0,0,0,0,0,0
none,01-Apr-87,1987,4,725828,0,0,0,0,0,0,0,0,0,0,0
none,01-Aug-87,1987,8,725950,0,0,0,1,1,0,1,1,0,0,0
none,01-Aug-88,1988,8,726316,0,0,0,0,0,0,0,0,0,0,0
none,01-Sep-88,1988,9,726347,1,0,0,0,1,1,1,1,0,0,0
none,01-Oct-88,1988,10,726377,0,0,0,0,0,0,0,0,0,0,0
RU198801,14-Oct-88,1988,10,726390,0,0,0,1,0,0,0,0,0,0,0
RU198802,21-Oct-88,1988,10,726397,0,0,0,2,0,0,0,0,0,0,0
none,01-Nov-88,1988,11,726408,0,0,0,2,0,0,0,0,0,0,0
RU198804,03-Nov-88,1988,11,726410,0,0,0,2,0,0,0,0,0,0,0
RU198805,10-Nov-88,1988,11,726417,0,0,0,2,0,0,0,0,0,0,0
RU198806,17-Nov-88,1988,11,726424,0,0,0,2,0,0,0,1,0,0,0
RU198807,25-Nov-88,1988,11,726432,0,0,0,2,1,0,0,2,0,0,0
none,01-Dec-88,1988,12,726438,0,0,0,2,2,0,0,0,0,0,0
RU198811,25-Dec-88,1988,12,726462,0,0,0,2,2,0,0,2,0,0,0
none,01-Jan-89,1989,1,726469,1,0,0,0,2,0,1,0,1,0,1
none,01-Feb-89,1989,2,726500,0,0,0,0,2,1,2,1,0,0,0
none,01-Mar-89,1989,3,726528,1,0,0,0,2,2,2,2,0,0,0
RU1990xx,20-May-90,1990,5,726973,0,0,0,0,0,0,0,0,0,0,0
RU1990xx,22-Jun-90,1990,6,727006,0,0,1,0,0,0,0,0,0,0,0
RU1990xx,05-Jul-90,1990,7,727019,0,0,0,0,0,0,0,0,0,0,0
RU1990xx,06-Jul-90,1990,7,727020,0,0,0,0,0,0,0,0,0,0,0
RU1990xx,10-Jul-90,1990,7,727024,0,0,1,0,0,0,0,0,0,0,0
PR1990xx,07-Nov-90,1990,11,727144,0,0,0,0,0,0,0,0,0,0,0
PR199101,08-May-91,1991,5,727326,0,0,0,0,0,0,0,0,0,0,0
