reference,datestring,year,month,datenumber,Calbayog_NorthSamar,Cambatutay_Tarangnan_NorthSamar,IrongIrong_Catbalogan_NorthSamar,Maqueda_NorthSamar,Villareal_NorthSamar,DaramIsland_SamarSea_WestSamar,BiliranIsland,CarigaraBay_Leyte,CoastalLeyte_LeyteGulf_Leyte,Calubian_Leyte,SanPedroBay_SouthSamar
PR199101,08-May-91,1991,5,727326,0,0,0,0,0,0,0,0,0,0,0
RU199100,17-Jun-91,1991,6,727366,0,0,0,0,0,0,0,0,0,0,0
RU199101b,17-Jul-91,1991,7,727396,0,0,0,0,0,0,0,0,0,0,0
RU199105,15-Aug-91,1991,8,727425,0,0,0,0,0,0,0,0,0,0,0
RU199109,16-Sep-91,1991,9,727457,0,0,0,0,0,0,0,0,0,0,0
RU199111,01-Oct-91,1991,10,727472,0,0,0,0,0,0,0,0,0,0,0
RU199114,15-Nov-91,1991,11,727517,0,0,0,0,0,0,0,0,0,0,0
INTERP,15-Dec-91,1991,12,727547,0,0,0,0,0,0,0,0,0,0,0
RU199201,08-Jan-92,1992,1,727571,0,0,0,0,0,0,0,0,0,0,0
INTERP,15-Feb-92,1992,2,727609,0,0,0,0,0,0,0,0,0,0,0
M1992xx,31-Mar-92,1992,3,727654,0,0,0,0,0,0,0,0,0,0,0
INTERP,15-Apr-92,1992,4,727669,0,0,0,0,0,0,0,0,0,0,0
INTERP,15-May-92,1992,5,727699,0,0,0,0,0,0,0,0,0,0,0
RU199206,18-Jun-92,1992,6,727733,0,0,0,0,0,0,0,0,0,0,0
RU199211,21-Jul-92,1992,7,727766,0,0,0,0,0,0,0,0,0,0,0
RU199214,14-Aug-92,1992,8,727790,0,0,0,0,0,0,0,0,0,0,0
RU199217,08-Sep-92,1992,9,727815,0,0,0,0,0,0,0,0,0,0,0
RU199221,16-Oct-92,1992,10,727853,0,0,0,0,0,0,0,0,0,0,0
COMBINED,18-Nov-92,1992,11,727886,0,0,0,1,1,1,0,1,0,0,0
RU199227,14-Dec-92,1992,12,727912,1,0,0,2,2,2,0,2,0,0,0
RU199302,22-Jan-93,1993,1,727951,2,1,0,2,2,2,0,2,0,0,0
RU199304,15-Feb-93,1993,2,727975,2,2,0,2,2,2,0,2,0,0,0
RU199306,23-Mar-93,1993,3,728011,2,2,1,2,2,2,0,2,0,0,0
RU199307,28-Apr-93,1993,4,728047,2,2,2,2,2,2,0,2,0,0,0
RU199310,18-May-93,1993,5,728067,2,2,2,2,2,2,0,2,0,0,0
